id,createdTime,name_th,name_en,description_th,description_en,problem
rec0QM6ST8anFMBbK,2025-06-12T03:45:37.000Z,ตรวจอุปกรณ์เชื่อมต่อ,Check Connected Devices Status,ดูในหน้าจอบริหารเราเตอร์หรือแอปว่ามีอุปกรณ์ใดหลุดจากเครือข่ายหรือมีการชนกันของ IP หรือไม่,Look at the router admin page or app to see if any devices are dropped or if there are IP conflicts in the network,"['recxsjCTLDOFFbpNz', 'recewNHMZxNCOyNOp', 'recm3VSu1cYt6MV8V', 'recVcEAIUun7ko2Lz']"
rec0Sjp2ae0IOG4Dy,2025-06-12T03:45:37.000Z,ฟังเสียงหนูตอนกลางคืน,Listen for Rodents at Night,ในเวลากลางคืนให้สังเกตเสียงวิ่งตบฟ้าหรือฝ้าเพดานเบา ๆ และตรวจสอบมุมมืดว่ามีรอยมูลหนูหรือไม่,"At night, listen for scurrying sounds in the attic or walls and check dark corners for rat droppings or chew marks",['recI5OmeM7Heiuziu']
rec0ULUUl6URf6mR7,2025-06-12T03:45:37.000Z,เปรียบเทียบราคาก่อนซื้อ/จ้าง,Compare Prices Before Purchase/Hire,ก่อนจะซื้อวัสดุอุปกรณ์หรือจ้างผู้รับเหมา ตรวจสอบหรือสอบถามราคาจากหลายแหล่งเพื่อให้ได้ราคาที่เหมาะสม,"Before buying materials or hiring contractors, check or inquire prices from multiple sources to ensure a fair price","['recIa4qwwETdrEQ0S', 'recNcsVy4qPETinu8']"
rec0kZ5gFxguMosys,2025-06-12T03:45:37.000Z,ตรวจดูหลังคาจากภายนอก,Visually Inspect Roof Exterior,จากระดับพื้น ใช้กล้องส่องหรือสังเกตหลังคาว่ามีกระเบื้องแตก/เหลื่อมหรือไม่,"From ground level (with binoculars or zoom camera), check if any roof tiles appear cracked or misaligned","['recVYKvvxXqkzKRJ3', 'rect7uqNcq3efZ4lj', 'reciVHX8OWS1IxLeh']"
rec3PZ3SQnVk7KxJf,2025-06-12T03:45:37.000Z,เช็กการทำงานพัดลม/มอเตอร์,Check Fans and Motors Operation,เปิดฟังเสียงและตรวจสอบพัดลมระบายอากาศและมอเตอร์แอร์ว่าเดินเรียบไม่มีเสียงแปลก,Run the exhaust fans and AC blower to listen that they run smoothly without unusual noises,"['recbuO3HzIiB8GQR7', 'recCw5FrTwc4SUu1L']"
rec3bfYECSjXWgJ6p,2025-06-12T03:45:37.000Z,ส่องดูคราบน้ำใต้หลังคา,Look for Roof Leak Stains,ตรวจดูฝ้าเพดานในบ้านหรือใต้หลังคาว่ามีคราบน้ำหรือน้ำหยดลงมาหรือไม่,Inspect the ceiling or attic for any water stains or drips that would indicate a roof leak,"['recVYKvvxXqkzKRJ3', 'reciVHX8OWS1IxLeh']"
rec40cNK0jOwtEhFn,2025-06-12T03:45:37.000Z,เช็กมิเตอร์น้ำหาการรั่ว,Check Water Meter for Leaks,ปิดก็อกน้ำทุกจุดแล้วดูมาตรวัดน้ำว่าหมุนหรือไม่ เพื่อตรวจสอบการรั่วซึม,"Turn off all taps and observe the water meter to see if it still moves, indicating a leak",['rec6ZZ2BixIR9hyPz']
rec4ghLR26KovuSji,2025-06-12T03:45:37.000Z,ตรวจบานพับและสกรู,Inspect Hinges and Screws,ดูบานพับประตู-หน้าต่างและสกรูว่าขันแน่นดี ไม่มีสนิมหรือหลวม,Check that door/window hinges and screws are tight and not rusted or loose,['rechw1ahgfmDI2YLY']
rec4tMXDzu9sqy147,2025-06-12T03:45:37.000Z,ตรวจมุมกล้องและไฟเซ็นเซอร์,Verify Camera Angles & Sensor Lights,เดินสำรวจบริเวณบ้านว่ากล้องวงจรปิดครอบคลุมมุมสำคัญครบหรือไม่ และไฟเซ็นเซอร์กลางคืนติดเมื่อเดินผ่านทุกจุดหรือไม่,Walk around to see if all critical areas are covered by CCTV camera angles and that motion-activated lights switch on when you pass through their zones at night,['recJWRDdJTxjB4gAQ']
rec4uVRS2r9X4ZlZC,2025-06-12T03:45:37.000Z,เช็กหัวสปริงเกลอร์,Check Sprinkler Heads & Hoses,เปิดระบบน้ำสวนแล้วเดินตรวจหัวสปริงเกลอร์ว่าฉีดน้ำได้ครบและไม่มีหัวไหนอุดตัน รวมถึงดูตามสายยางว่ามีจุดรั่วหรือไม่,Run the garden irrigation system and walk the yard to ensure all sprinkler heads are spraying properly without blockages and inspect hoses for any leaks,"['recpLW8eqiBurotNf', 'recj7aXHGgIIuyUCi']"
