id,createdTime,name_th,status,source,created_time,doc_type,item,name_th (from item),bu,name_th (from bu),created_by.id,created_by.email,created_by.name,service,name_th (from service)
rec1lrNCZVKYPBxyc,2025-07-21T06:43:22.000Z,AW HPB-All_Products-Catalog_20250403small (1),active,https://www.scgsmartliving.com/Download,2025-07-21T06:43:22.000Z,catalog,"['recJuFySaJRewjnkv', 'recChJ3APfFnTHelm']","['กระเบื้องมุงหลังคา', 'ครอบสันหลังคา']",['rec2RwC3bYkWynQTG'],['SCG Smart Living'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,,
recGEWRnzhX2Zlas5,2025-07-21T05:18:22.000Z,scg-solar-roof-solutions-residential-catalog(1),active,https://www.scgsmartliving.com/Download,2025-07-21T05:18:22.000Z,catalog,,,['rec2RwC3bYkWynQTG'],['SCG Smart Living'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,['recarzO3csgYgvQNN'],['SCG Solar Roof Solutions ระบบหลังคาโซลาร์ เอสซีจี พร้อมบริการครบวงจร']
recKnuEJ3Y6gAsFDk,2025-07-16T03:35:40.000Z,ปัญหาเรื่องบ้านหน้าฝนพบบ่อย _ SCG HOME Online,active,https://www.scghome.com/living-ideas/articles/%E0%B8%9B%E0%B8%B1%E0%B8%8D%E0%B8%AB%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%9A%E0%B8%9A%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%8A%E0%B9%88%E0%B8%A7%E0%B8%87%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%9D%E0%B8%99,2025-07-16T03:35:40.000Z,article,['recJuFySaJRewjnkv'],['กระเบื้องมุงหลังคา'],['reccNudjo8Tx9ns83'],['SCG Home'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,['recdw9P9iqOSmLhH2'],['บริการซ่อมรั่วหลังคาเฉพาะจุด (ROOF REPAIR)\u200b']
recLYGeaMZj9kzV0P,2025-07-21T05:18:01.000Z,scg-roof-renovation-catalog,active,https://www.scgsmartliving.com/Download,2025-07-21T05:18:01.000Z,catalog,['recJuFySaJRewjnkv'],['กระเบื้องมุงหลังคา'],['rec2RwC3bYkWynQTG'],['SCG Smart Living'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,['recpCmbQH2pB8GwgP'],['บริการรื้อ – เปลี่ยนหลังคาเก่าทั้งผืน (RE-ROOF)\u200b']
recPMckm9eAJ9QGhD,2025-07-21T05:18:30.000Z,scg-thermal-insulation-for-ceiling-staycool-catalog,active,https://www.scgsmartliving.com/Download,2025-07-21T05:18:30.000Z,catalog,,,['rec2RwC3bYkWynQTG'],['SCG Smart Living'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,"['recSafsMMNKCokJvn', 'recxQfe31JAGaVvmW']","['บริการติดตั้งฉนวนกันความร้อน', 'บริการติดตั้งฉนวนกันความร้อน SCG รุ่น Staycool']"
recT5C7zRLhUFy0q1,2025-07-21T05:22:22.000Z,เลือกขนาดเครื่องซักผ้าแบบไหน ให้เหมาะสมกับไลฟ์สไตล์คุณ,active,https://www.q-chang.com/blog,2025-07-21T05:22:22.000Z,article,,,['recwvh3DUOaN05UXn'],['Q‑CHANG'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,"['recuUmjJilcweq0e4', 'rec5Q2wXM8hBejOSF', 'rec7m9nIc7KZSZHpw']","['ล้างเครื่องซักอบผ้าฝาหน้า', 'บริการล้างเครื่องซักผ้าฝาบน', 'บริการล้างเครื่องซักผ้าฝาหน้า']"
recZqIeBd44AnO9pu,2025-07-21T05:20:37.000Z,scg-vinyl-rain-gutter-installation-service-homesmile-catalog,active,https://www.scgsmartliving.com/Download,2025-07-21T05:20:37.000Z,catalog,['recRCklo0mRCXLOzr'],['รางน้ำฝน'],['rec2RwC3bYkWynQTG'],['SCG Smart Living'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,"['recdc0cKArMaDLMxx', 'recOlZ4mgYyRmRVJi', 'recvhr7lvsVqJtzFB', 'recRnSKTRzgJmbHfN', 'recVSuua1VyOkNRoD']","['บริการติดตั้งรางน้ำฝนไวนิล เอสซีจี HomeSmile', 'บริการติดตั้งรางน้ำฝนไวนิล SCG รุ่น Smart by Q-Chang', 'บริการติดตั้งรางน้ำฝนไวนิล SCG', 'บริการติดตั้งรางน้ำฝน PVC by Q-Chang\n', 'บริการติดตั้งรางน้ำฝนไวนิล SCG รุ่น Deluxe by Q-Chang']"
reclAq7bZnGCsY8tl,2025-07-21T06:23:16.000Z,76คู่มือระบบท่อและสุขภัณฑ์_20200128,active,offline,2025-07-21T06:23:16.000Z,manual,"['rec2Nq5k9ZmePGOvi', 'rec3rTlFs4MB7IevL']","['ท่อประปา', 'โถสุขภัณฑ์']",['recVw65yO4iKY3hDE'],['บริษัท นวพลาสติกอุตสาหกรรม จำกัด'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,,
recp0QAmozTGKIAc5,2025-07-16T03:35:40.000Z,catalog-scg-active-air-quality_compressed,active,https://www.scgsmartliving.com/Download,2025-07-16T03:35:40.000Z,catalog,,,['rec2RwC3bYkWynQTG'],['SCG Smart Living'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,['rec63Mru1fEyjsR88'],['เครื่องเติมอากาศดี SCG Active AIR Quality']
recpPWQRKUIAlAgl5,2025-07-21T05:21:08.000Z,น้ำยาแอร์รั่ว! ทำความเข้าใจสาเหตุ วิธีตรวจเช็ก และการแก้ไข,active,https://www.q-chang.com/blog,2025-07-21T05:21:08.000Z,article,['recDZlSkBf0Ypf8l3'],['เครื่องปรับอากาศ'],['recwvh3DUOaN05UXn'],['Q‑CHANG'],usrLtQIYPCL9u3RzB,watchtec@scg.com,Watchareepast Techanitipat,['recryMZEHATEJKWGf'],['บริการซ่อมแอร์']
