id,createdTime,name_th,name_en,description_th,description_en,problem
rec1HqCTSy75rIxRE,2025-06-12T03:47:28.000Z,จุดยากันยุง/ใช้ไม้ตียุง,Use Mosquito Coils or Racket,ตอนเย็นๆ จุดยากันยุงในมุมที่ยุงชุม หรือใช้ไม้ช็อตยุงตบยุงที่บินในบ้านลดจำนวนลงอย่างรวดเร็ว,"In the evening,  burn mosquito coils in corners where mosquitoes gather,  or use an electric mosquito racket to swat and quickly reduce the number of mosquitoes inside",['recaO6dxe0HppKTbL']
rec1VxwfWZOhPGvCy,2025-06-12T03:47:28.000Z,จัดมุมรีไซเคิลง่ายๆ,Set Up Easy Recycling Station,วางกล่องหรือถุงใบใหญ่ไว้ที่มุมครัว แยกไว้สำหรับทิ้งขวดพลาสติก กระป๋อง และกระดาษทันทีเมื่อใช้เสร็จ จะได้ไม่ปนกับขยะทั่วไป,"Place a large box or bag in the kitchen corner specifically for empty plastic bottles, cans,  and paper so theyre immediately separated and not thrown in regular trash ",['recfg0IZ2lzo380io']
rec1YrWzuGBNE1b5a,2025-06-12T03:47:28.000Z,อัปเดตเฟิร์มแวร์อุปกรณ์,Update Security System Firmware,เชื่อมต่อกล่องบันทึกหรือระบบบ้านอัจฉริยะกับอินเทอร์เน็ต แล้วติดตั้งเฟิร์มแวร์หรือซอฟต์แวร์รุ่นล่าสุดเพื่อแก้บั๊กและเพิ่มความเสถียร,Connect the DVR or smart home hub to the internet and install the latest firmware/software updates to fix bugs and enhance system stability,
rec1dFLDFJM9sxxtF,2025-06-12T03:47:28.000Z,สเปรย์ไล่สัตว์เลี้ยง,Use Pet Deterrent Spray,ฉีดสเปรย์กลิ่นที่สัตว์เลี้ยงไม่ชอบ (ที่ปลอดภัย เช่น สเปรย์มะนาว) บนของหรือบริเวณที่ไม่ต้องการให้สัตว์เข้าไปยุ่ง,Spray a pet-safe deterrent (like a citrus-scented spray which pets dislike) on items or areas you want to keep pets away from as a temporary measure,['recFXHzQglXNIwyQ7']
rec1wcYr89xjXHpAp,2025-06-12T03:47:28.000Z,พันเทปประปาที่ข้อต่อรั่ว,Apply Pipe Tape to Leaky Joint,ใช้เทปพันเกลียว (เทฟลอนเทป) หรือซิลิโคนซีลพัน/อุดตรงข้อต่อท่อที่มีน้ำซึมเพื่อหยุดการรั่วชั่วคราว,Use plumbers Teflon tape or silicone sealant around a leaking pipe joint to temporarily stop the leak,"['rec6ZZ2BixIR9hyPz', 'recomqHSw3CXBRLlT']"
rec2kgZXBOJ2Y1Ngx,2025-06-12T03:47:28.000Z,ตกแต่งด้วยของที่มีอยู่,Redeploy Existing Decor,หยิบของตกแต่งชิ้นอื่นในบ้าน เช่น รูปภาพ แจกัน มาวางหรือแขวนในห้องที่ดูโล่งจืด เพื่อเพิ่มรายละเอียด (โดยไม่ต้องซื้อเพิ่ม),Take other decorative items you already have (like pictures or vases) and place or hang them in a room that looks plain to add detail (no new purchases needed),['rec281us7oEtid4a0']
rec2mG9JLNc4gsprf,2025-06-12T03:47:28.000Z,จัดเฟอร์นิเจอร์ใหม่,Rearrange Furniture Layout,ลองย้ายตำแหน่งเฟอร์นิเจอร์หลัก ๆ เช่น โซฟา โต๊ะ ในห้อง เพื่อสร้างความรู้สึกแปลกใหม่โดยไม่ต้องซื้อของเพิ่ม,Move major furniture pieces like the sofa or table to new positions in the room to give it a fresh feel without buying anything new,"['rec281us7oEtid4a0', 'recVaeQxvxVSiWQkq']"
rec3uTKjKL1PsHkID,2025-06-12T03:47:28.000Z,ติดเทปกันข่วนเฟอร์นิเจอร์,Apply Anti-Scratch Tape on Furniture,ถ้าสัตว์เลี้ยงชอบข่วนเฟอร์นิเจอร์บางชิ้น ให้ติดเทปสองหน้าหรือแผ่นพลาสติกบนส่วนนั้นชั่วคราว สัตว์จะไม่ชอบสัมผัสและหยุดข่วน,"If a pet likes to scratch a certain piece of furniture,  apply double-sided tape or a plastic protective sheet on that area; pets dislike the texture,  so it discourages scratching",['recRiHMkbyNN9mlPO']
rec6URzdMWheGKvyP,2025-06-12T03:47:28.000Z,อุดโป๊วรอยแตกเล็ก,Fill Minor Wall Cracks,ใช้วัสดุอุดโป๊วอะคริลิกหรือปูนฉาบบาง ป้ายอุดตามรอยแตกลายงาบนผนัง ปาดให้เรียบ แล้วทาสีทับ,"Use an acrylic filler or thin spackling compound to fill hairline cracks on the wall,  smooth it out,  and then repaint over it",['rec41KAyDUAF6qEa9']
rec8CMbJq4wM0kh8h,2025-06-12T03:47:28.000Z,ใช้ลูกกลิ้งเก็บขน,Use Lint Roller on Fur,ในจุดที่มีขนสัตว์หล่นเยอะ อย่างโซฟาหรือพรม ใช้ลูกกลิ้งกาวกลิ้งเก็บขนสัตว์ออกอย่างรวดเร็ว,"On spots with lots of pet hair (like sofas or rugs),  use a sticky lint roller to quickly pick up and remove the fur",['recNwCG7roHmoR3vE']
