id,createdTime,name_th,name_en,description_th,description_en,category,problem,name_th (from problem),document,name_th (from document)
rec0grIwpqiFexxYh,2025-06-12T02:37:10.000Z,มุ้งลวด,Insect Screen,มุ้งลวดติดที่กรอบหน้าต่าง/ประตูเพื่อกันยุงและแมลง,Mesh screen fitted to window/door frames to keep out insects,['recsXPvO3N0bCcrdI'],"['reciWWw0tzZtN3S3I', 'recKsdeLqWufqLYey']","['มุ้งลวดฉีกขาด', 'นกหรือสัตว์รบกวนอื่นๆ']",,
rec0hbutthAWJlaBy,2025-06-12T02:37:10.000Z,ฟิวส์ไฟฟ้า,Fuse,ฟิวส์อุปกรณ์ป้องกันไฟฟ้าเกินโดยใช้เส้นลวดขาดเมื่อไฟเกิน,Fuse that protects circuits by melting when overloaded,['recLrzzeh8MwysftK'],"['recxKrkswZtwLUw50', 'recfEeF3Oc1Alph1C']","['ไฟฟ้าลัดวงจร/ไฟช็อต', 'ฟิวส์ขาด/เบรกเกอร์ทริป']",,
rec0uCzIhPAq9vNud,2025-06-12T02:37:10.000Z,ดินและปุ๋ย,Soil & Fertilizer,ดินปลูกและปุ๋ยสำหรับบำรุงรักษาต้นไม้และหญ้าในสวน,Planting soil and fertilizers for maintaining plants and lawn,['reczE01VVn4mwhyWq'],"['recAZyJBkIljH3C4E', 'recYyiP0PjWHEreBv']","['ศัตรูพืชทำลายสวน', 'ดินเสื่อมคุณภาพ']",,
rec2DIyEzwIJ4VgYO,2025-06-12T02:37:10.000Z,ประตูไม้,Wooden Door,ประตูทำจากไม้ที่ใช้เป็นทางเข้าออกห้องหรือบ้าน,Wooden door used for entry/exit of a room or house,['recsXPvO3N0bCcrdI'],"['rec5cItMuQaEmoEIa', 'recrd9rXbxrLmaLhs', 'reciqVFt5dhqWcA4N']","['ประตูหน้าต่างติดขัด (โครงสร้างยุบ)', 'ประตู/หน้าต่างไม้บวม', 'สารเคลือบผิวไม้หลุดลอก']",,
rec2Lzii8s2DTK7bQ,2025-06-12T02:37:10.000Z,กลอน/ลูกบิดประตู,Door Lock/Knob,ชุดกลอนหรือลูกบิดสำหรับล็อกและเปิดปิดประตู,Door lockset or knob for securing and opening a door,['recsXPvO3N0bCcrdI'],['recALEtz5RdNvMgWe'],['กลอนหรือลูกบิดเสีย'],,
rec2Nq5k9ZmePGOvi,2025-06-12T02:37:10.000Z,ท่อประปา,Water Pipe,ท่อน้ำสำหรับส่งน้ำประปาภายในบ้าน,Water pipe for supplying water within the home,['rec9ArDSbCNYfNndQ'],"['rec6ZZ2BixIR9hyPz', 'recVes6NAdwGS9CZU']","['ท่อน้ำรั่ว/แตก', 'น้ำไม่ไหล/แรงดันต่ำ']",['reclAq7bZnGCsY8tl'],['76คู่มือระบบท่อและสุขภัณฑ์_20200128']
rec2omuvTifsWfKtn,2025-06-12T02:37:10.000Z,กองทุนฉุกเฉิน,Emergency Fund,เงินสำรองที่กันไว้เผื่อซ่อมแซมบ้านกรณีฉุกเฉิน,Set-aside savings reserved for emergency home repairs,['recZqMJtCiLXWEq9A'],['recR2D2QWlCXo6Tno'],['ไม่มีเงินสำรองยามฉุกเฉิน'],,
rec38JzAPe4YMnsVz,2025-06-12T02:37:10.000Z,เฟอร์นิเจอร์ตกแต่ง,Decorative Furniture,เฟอร์นิเจอร์ตกแต่งภายใน เช่น โซฟา โต๊ะ ชั้นวาง ของตกแต่งห้อง,"Interior decorative furniture like sofas, tables, shelves enhancing room design",['recfXESPVeJYHAA2S'],"['rec281us7oEtid4a0', 'recMd95NIZ795gtkD', 'recVaeQxvxVSiWQkq', 'recRiHMkbyNN9mlPO']","['สไตล์การตกแต่งล้าสมัย', 'เฟอร์นิเจอร์ชำรุด/เก่า', 'ของตกแต่งจัดวางไม่ดี', 'รอยขีดข่วนจากสัตว์เลี้ยง']",,
rec3X5OZIUGARlEcl,2025-06-12T02:37:10.000Z,โฉนดที่ดิน/บ้าน,House Title Deed,เอกสารสิทธิ์แสดงความเป็นเจ้าของบ้านและที่ดิน,Legal title deed document proving ownership of the house and land,['recoR13cvLTR3JwHv'],['recWAIeqPhaFLElGs'],['เอกสารบ้านสูญหาย'],,
rec3rTlFs4MB7IevL,2025-06-12T02:37:10.000Z,โถสุขภัณฑ์,Toilet (Sanitary Fixture),โถชักโครกและสุขภัณฑ์ในห้องน้ำ,Toilet bowl and sanitary fixtures in the bathroom,['rec9ArDSbCNYfNndQ'],['recCcAEKfOSRbfB8g'],['โถสุขภัณฑ์อุดตัน/กดไม่ลง'],['reclAq7bZnGCsY8tl'],['76คู่มือระบบท่อและสุขภัณฑ์_20200128']
