id_item,id_problem
มุ้งลวด,มุ้งลวดฉีกขาด
มุ้งลวด,นกหรือสัตว์รบกวนอื่นๆ
ฟิวส์ไฟฟ้า,ไฟฟ้าลัดวงจร/ไฟช็อต
ฟิวส์ไฟฟ้า,ฟิวส์ขาด/เบรกเกอร์ทริป
ดินและปุ๋ย,ศัตรูพืชทำลายสวน
ดินและปุ๋ย,ดินเสื่อมคุณภาพ
ประตูไม้,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
ประตูไม้,ประตู/หน้าต่างไม้บวม
ประตูไม้,สารเคลือบผิวไม้หลุดลอก
กลอน/ลูกบิดประตู,กลอนหรือลูกบิดเสีย
ท่อประปา,ท่อน้ำรั่ว/แตก
ท่อประปา,น้ำไม่ไหล/แรงดันต่ำ
กองทุนฉุกเฉิน,ไม่มีเงินสำรองยามฉุกเฉิน
เฟอร์นิเจอร์ตกแต่ง,สไตล์การตกแต่งล้าสมัย
เฟอร์นิเจอร์ตกแต่ง,เฟอร์นิเจอร์ชำรุด/เก่า
เฟอร์นิเจอร์ตกแต่ง,ของตกแต่งจัดวางไม่ดี
เฟอร์นิเจอร์ตกแต่ง,รอยขีดข่วนจากสัตว์เลี้ยง
โฉนดที่ดิน/บ้าน,เอกสารบ้านสูญหาย
โถสุขภัณฑ์,โถสุขภัณฑ์อุดตัน/กดไม่ลง
วงกบประตู/หน้าต่าง,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
วงกบประตู/หน้าต่าง,ประตู/หน้าต่างไม้บวม
วงกบประตู/หน้าต่าง,หน้าต่างปิดไม่สนิท
เจลหรือเหยื่อกำจัดมด,แมลงอย่างมด/แมลงสาบเข้ามา
เจลหรือเหยื่อกำจัดมด,มดขึ้นอาหาร
ราคาวัสดุอ้างอิง,ไม่ทราบราคาค่าวัสดุ/ช่าง
เครื่องไล่แมลงอิเล็กทรอนิกส์,ยุงชุมในบ้าน
ถังเก็บน้ำ,น้ำไม่ไหล/แรงดันต่ำ
ใบเสนอราคางานซ่อม,ไม่ทราบราคาค่าวัสดุ/ช่าง
ใบเสนอราคางานซ่อม,เลือกช่างไม่ได้คุณภาพ (เปลืองเงิน)
เราเตอร์อินเทอร์เน็ต,อินเทอร์เน็ตหลุดบ่อย
เราเตอร์อินเทอร์เน็ต,สัญญาณ Wi-Fi อ่อน
เราเตอร์อินเทอร์เน็ต,ความเร็วอินเทอร์เน็ตช้า
เราเตอร์อินเทอร์เน็ต,เชื่อมต่อ Wi-Fi ไม่ได้
เราเตอร์อินเทอร์เน็ต,เราเตอร์ค้าง/ร้อนเกินไป
ครอบสันหลังคา,หลังคารั่วซึม
ครอบสันหลังคา,ครอบสัน/รอยต่อหลังคาเสียหาย
ภาพและงานศิลป์,สไตล์การตกแต่งล้าสมัย
ภาพและงานศิลป์,ของตกแต่งจัดวางไม่ดี
เครื่องปรับอากาศ,แอร์ไม่เย็น
เครื่องปรับอากาศ,แอร์น้ำหยด
เครื่องปรับอากาศ,มีกลิ่นอับจากระบบแอร์
เครื่องปรับอากาศ,เสียงดังผิดปกติจากระบบ
โมเด็ม,อินเทอร์เน็ตหลุดบ่อย
โมเด็ม,ความเร็วอินเทอร์เน็ตช้า
โมเด็ม,เชื่อมต่อ Wi-Fi ไม่ได้
วัสดุอุดโป๊ว,ผนังหรือพื้นแตกร้าว
วัสดุอุดโป๊ว,ผนังมีรอยแตกลายงา
ตัวขยายสัญญาณ Wi-Fi,สัญญาณ Wi-Fi อ่อน
ตัวขยายสัญญาณ Wi-Fi,เชื่อมต่อ Wi-Fi ไม่ได้
หลอดไฟ,ไฟตก/ไฟเกิน
หลอดไฟ,ไฟดับบ่อย
หลอดไฟ,แสงไฟไม่เหมาะสม
แผ่นปิดรอยต่อหลังคา,หลังคารั่วซึม
แผ่นปิดรอยต่อหลังคา,ครอบสัน/รอยต่อหลังคาเสียหาย
เครื่องดูดฝุ่น,ฝุ่นสะสมในบ้าน
เครื่องดูดฝุ่น,ขนสัตว์เลี้ยงหลุดร่วงมาก
สนามหญ้า,สนามหญ้ารก
สนามหญ้า,น้ำขังในสนาม
บิลค่าสาธารณูปโภค,เอกสารบ้านสูญหาย
เสาโครงสร้าง,ผนังหรือพื้นแตกร้าว
เสาโครงสร้าง,พื้นทรุดตัว
เสาโครงสร้าง,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
เสาโครงสร้าง,โครงสร้างเหล็กเป็นสนิม
แปรงขัดห้องน้ำ,คราบสกปรกในห้องน้ำ/ครัว
ประตูสำหรับสัตว์เลี้ยง,สัตว์เลี้ยงหลุดออกนอกบ้าน
กระเบื้องมุงหลังคา,หลังคารั่วซึม
กระเบื้องมุงหลังคา,กระเบื้องหลังคาแตกร้าว/หลุด
แอปพลิเคชันบริหารการเงิน,ข้อมูลบ้านกระจัดกระจาย
แอปพลิเคชันบริหารการเงิน,ไม่ได้บันทึกค่าใช้จ่าย
สีน้ำ/สีน้ำมัน,สีผนังลอกล่อน
สีน้ำ/สีน้ำมัน,สีซีดจาง/หม่นหมอง
สีน้ำ/สีน้ำมัน,ผนังมีรอยแตกลายงา
สีน้ำ/สีน้ำมัน,สีโป่งพองเป็นฟอง
ต้นไม้ใหญ่,กิ่งไม้หัก/ต้นไม้เอียง
ต้นไม้ใหญ่,ศัตรูพืชทำลายสวน
ท่อระบายอากาศ,พัดลม/ระบบระบายอากาศเสีย
ท่อระบายอากาศ,การระบายอากาศไม่เพียงพอ
ก๊อกน้ำ,ก๊อกน้ำรั่ว
กระบะทรายแมว,กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย
กระบะทรายแมว,สัตว์เลี้ยงขับถ่ายในบ้าน
ผนังรับน้ำหนัก,ผนังหรือพื้นแตกร้าว
ผนังรับน้ำหนัก,พื้นทรุดตัว
ผนังรับน้ำหนัก,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
กุญแจดิจิตอล,กลอนไฟฟ้าดิจิทัลขัดข้อง
ระบบรดน้ำสวน,น้ำขังในสนาม
ระบบรดน้ำสวน,ระบบรดน้ำชำรุด
ถุงขยะรีไซเคิล,ขยะรีไซเคิลปนกับขยะทั่วไป
เต้ารับ (ปลั๊กไฟ),ไฟตก/ไฟเกิน
เต้ารับ (ปลั๊กไฟ),ไฟฟ้าลัดวงจร/ไฟช็อต
เต้ารับ (ปลั๊กไฟ),เต้ารับหรือสวิตช์หลวม/เสีย
บานพับ,บานพับหลวมหรือมีเสียงดัง
รางน้ำฝน,รางน้ำฝนอุดตัน
รางน้ำฝน,รางน้ำฝนรั่ว/หลุด
รางน้ำฝน,น้ำล้นรางน้ำฝน
ไม้ถูพื้น,ฝุ่นสะสมในบ้าน
ภาชนะขยะอันตราย,ขยะอันตรายถูกทิ้งผิดวิธี
ถังขยะ,ของรกไม่เป็นระเบียบ
ถังขยะ,ขยะล้น/สะสม
ถังขยะ,กลิ่นเหม็นจากขยะ
ถังขยะ,แมลงและหนูบริเวณถังขยะ
ถังขยะ,ของเก่าชิ้นใหญ่กีดขวาง
มุ้งลวดกันยุง,ยุงชุมในบ้าน
เหล็กเสริมโครงสร้าง,ผนังหรือพื้นแตกร้าว
เหล็กเสริมโครงสร้าง,พื้นทรุดตัว
เหล็กเสริมโครงสร้าง,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
เหล็กเสริมโครงสร้าง,โครงสร้างเหล็กเป็นสนิม
เซ็นเซอร์ประตู/หน้าต่าง,สัญญาณกันขโมยเตือนผิดพลาด
เซ็นเซอร์ประตู/หน้าต่าง,แบตเตอรี่เซ็นเซอร์หมด
เซ็นเซอร์ประตู/หน้าต่าง,ระบบเตือนภัยไม่ทำงาน
ตู้โหลดไฟ / เบรกเกอร์,ไฟตก/ไฟเกิน
ตู้โหลดไฟ / เบรกเกอร์,ไฟฟ้าลัดวงจร/ไฟช็อต
ตู้โหลดไฟ / เบรกเกอร์,ไฟดับบ่อย
ตู้โหลดไฟ / เบรกเกอร์,ฟิวส์ขาด/เบรกเกอร์ทริป
เครื่องตัดหญ้า,สนามหญ้ารก
ถังขยะแยกประเภท,ขยะรีไซเคิลปนกับขยะทั่วไป
หน้าต่าง,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
หน้าต่าง,ประตู/หน้าต่างไม้บวม
หน้าต่าง,หน้าต่างปิดไม่สนิท
หน้าต่าง,สารเคลือบผิวไม้หลุดลอก
สเปรย์ยาฆ่าแมลง,แมลงอย่างมด/แมลงสาบเข้ามา
สเปรย์ยาฆ่าแมลง,แมลงสาบในครัว
ไฟเซ็นเซอร์รักษาความปลอดภัย,ไฟเซ็นเซอร์ไม่ติด
ผ้าม่าน/มู่ลี่,สไตล์การตกแต่งล้าสมัย
ผ้าม่าน/มู่ลี่,ผ้าม่านหมอง/มีคราบ
สาย LAN,อินเทอร์เน็ตหลุดบ่อย
สาย LAN,ความเร็วอินเทอร์เน็ตช้า
สาย LAN,สาย/พอร์ตเครือข่ายเสีย
คานโครงสร้าง,ผนังหรือพื้นแตกร้าว
คานโครงสร้าง,พื้นทรุดตัว
คานโครงสร้าง,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
คานโครงสร้าง,โครงสร้างเหล็กเป็นสนิม
กรง/บ้านสัตว์เลี้ยง,สัตว์เลี้ยงกัดแทะสิ่งของ
แบบแปลนบ้าน,เอกสารบ้านสูญหาย
แปรง/หวีสำหรับสัตว์เลี้ยง,ขนสัตว์เลี้ยงหลุดร่วงมาก
ฐานราก,ผนังหรือพื้นแตกร้าว
ฐานราก,พื้นทรุดตัว
ฐานราก,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
ฐานราก,น้ำซึมเข้าฐานราก
ฐานราก,ดินรอบบ้านทรุดเป็นโพรง
กรมธรรม์ประกันภัยบ้าน,เอกสารบ้านสูญหาย
กรมธรรม์ประกันภัยบ้าน,ไม่เข้าใจประกันภัยบ้าน
กรมธรรม์ประกันภัยบ้าน,ประกันบ้านหมดอายุ
กรมธรรม์ประกันภัยบ้าน,ไม่มีประกันภัยบ้าน
วอลเปเปอร์,สไตล์การตกแต่งล้าสมัย
วอลเปเปอร์,ผนัง/วอลเปเปอร์เปื้อนหรือซีด
วาล์วน้ำ,น้ำไม่ไหล/แรงดันต่ำ
แผ่นรองซับฉี่สุนัข,กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย
แผ่นรองซับฉี่สุนัข,สัตว์เลี้ยงขับถ่ายในบ้าน
สวิตช์เครือข่าย,ความเร็วอินเทอร์เน็ตช้า
สวิตช์เครือข่าย,สาย/พอร์ตเครือข่ายเสีย
กับดักหนู,หนูในฝ้า/ผนัง
สีรองพื้น,สีผนังลอกล่อน
สีรองพื้น,สีซีดจาง/หม่นหมอง
สีรองพื้น,ผนังมีรอยแตกลายงา
สีรองพื้น,สีโป่งพองเป็นฟอง
คู่มือและใบรับประกันเครื่องใช้,เอกสารบ้านสูญหาย
แผนงบประมาณดูแลบ้าน,ใช้งบซ่อมบ้านเกินกำหนด
แผนงบประมาณดูแลบ้าน,งบบานปลายตอนรีโนเวท
สายไฟ,ไฟตก/ไฟเกิน
สายไฟ,ไฟฟ้าลัดวงจร/ไฟช็อต
สายไฟ,ไฟดับบ่อย
สายไฟ,สายไฟชำรุด
พื้นคอนกรีต,ผนังหรือพื้นแตกร้าว
พื้นคอนกรีต,พื้นทรุดตัว
พื้นคอนกรีต,ประตูหน้าต่างติดขัด (โครงสร้างยุบ)
ท่อน้ำลง,รางน้ำฝนอุดตัน
ท่อน้ำลง,รางน้ำฝนรั่ว/หลุด
ท่อน้ำลง,น้ำล้นรางน้ำฝน
เหยื่อกำจัดปลวก,ปลวกขึ้นบ้าน
น้ำยาและผ้าทำความสะอาด,คราบสกปรกบนผนัง/ฝ้า
น้ำยาและผ้าทำความสะอาด,ฝุ่นสะสมในบ้าน
น้ำยาและผ้าทำความสะอาด,คราบสกปรกในห้องน้ำ/ครัว
น้ำยาและผ้าทำความสะอาด,กลิ่นไม่พึงประสงค์
น้ำยาและผ้าทำความสะอาด,เชื้อราในห้องน้ำ
น้ำยาและผ้าทำความสะอาด,ผนัง/วอลเปเปอร์เปื้อนหรือซีด
น้ำยาและผ้าทำความสะอาด,ผ้าม่านหมอง/มีคราบ
น้ำยาและผ้าทำความสะอาด,กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย
แผ่นกรองอากาศ,แอร์ไม่เย็น
แผ่นกรองอากาศ,มีกลิ่นอับจากระบบแอร์
ชุดสัญญาณกันขโมย,สัญญาณกันขโมยเตือนผิดพลาด
ชุดสัญญาณกันขโมย,ระบบเตือนภัยไม่ทำงาน
พัดลมเพดาน,พัดลม/ระบบระบายอากาศเสีย
พัดลมเพดาน,เสียงดังผิดปกติจากระบบ
พัดลมระบายอากาศ,พัดลม/ระบบระบายอากาศเสีย
พัดลมระบายอากาศ,การระบายอากาศไม่เพียงพอ
พัดลมระบายอากาศ,เสียงดังผิดปกติจากระบบ
สัญญาว่าจ้างและใบเสร็จ,เอกสารบ้านสูญหาย
โคมไฟตกแต่ง,สไตล์การตกแต่งล้าสมัย
โคมไฟตกแต่ง,แสงไฟไม่เหมาะสม
สวิตช์ไฟ,ไฟตก/ไฟเกิน
สวิตช์ไฟ,ไฟฟ้าลัดวงจร/ไฟช็อต
สวิตช์ไฟ,เต้ารับหรือสวิตช์หลวม/เสีย
ปั๊มน้ำ,น้ำไม่ไหล/แรงดันต่ำ
ปั๊มน้ำ,ปั๊มน้ำทำงานผิดปกติ
ตารางบันทึกรายจ่าย,ไม่มีประวัติบำรุงรักษาบ้าน
ตารางบันทึกรายจ่าย,ไม่ได้บันทึกค่าใช้จ่าย
พรมและผ้าตกแต่ง,สไตล์การตกแต่งล้าสมัย
ข้อต่อท่อประปา,ท่อน้ำรั่ว/แตก
ข้อต่อท่อประปา,ข้อต่อท่อ/ซีลรั่ว
ตะแกรงกันใบไม้รางน้ำ,รางน้ำฝนอุดตัน
ตะแกรงกันใบไม้รางน้ำ,น้ำล้นรางน้ำฝน
ยาแนว/ซีลแลนท์,ข้อต่อท่อ/ซีลรั่ว
ยาแนว/ซีลแลนท์,ผนังหรือพื้นแตกร้าว
ยาแนว/ซีลแลนท์,หลังคารั่วซึม
ยาแนว/ซีลแลนท์,ครอบสัน/รอยต่อหลังคาเสียหาย
ยาแนว/ซีลแลนท์,รางน้ำฝนรั่ว/หลุด
น้ำยากันเชื้อรา,ผนังมีคราบเชื้อราหรือตะไคร่น้ำ
น้ำยากันเชื้อรา,เชื้อราในห้องน้ำ
เทอร์โมสตัท,แอร์ไม่เย็น
พุ่มไม้/แนวรั้วต้นไม้,กิ่งไม้หัก/ต้นไม้เอียง
พุ่มไม้/แนวรั้วต้นไม้,ศัตรูพืชทำลายสวน
ไม้กวาด,ฝุ่นสะสมในบ้าน
กล้องวงจรปิด,กล้องวงจรปิดภาพขัดข้อง
