id,createdTime,name_th,name_en,description_th,description_en,item,check,fix,service,name_th (from item),name_th (from check),name_th (from fix),name_th (from service)
rec0MtyTgmKTfzd3B,2025-06-12T02:36:50.000Z,ก๊อกน้ำรั่ว,Leaky Faucet,ก๊อกน้ำปิดไม่สนิท มีน้ำหยดตลอดทำให้สิ้นเปลืองน้ำ,"Faucet does not shut off completely, causing constant dripping and water waste",['recMrOlLqGgNEwoXH'],['reckzQnu4hPUkixeP'],['recKKAnoSLgGPKmdy'],"['recRymcaUzpQjn8gC', 'recuhYXVxP4v5No7j']",['ก๊อกน้ำ'],['ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด'],['เปลี่ยนยางก๊อกแก้ก๊อกรั่ว'],"['แก้ไขท่อน้ำอุดตัน', 'บริการติดตั้งปรับปรุงห้องน้ำ']"
rec0Rp87rtsWA9AZf,2025-06-12T02:36:50.000Z,กลิ่นเหม็นจากขยะ,Bad Odor from Garbage,มีกลิ่นเน่าเหม็นจากถังขยะหรือเศษอาหารที่ทิ้งไว้,There's a rotten smell emanating from garbage bins or food waste left sitting,['recTJwmPyawzQu2WQ'],"['recB3GmEbddMNG3Nu', 'reccEJbwoL9y6X2QC']",['recbs4ibEBzfcbIU6'],"['recsX9eXEUe2Gkl9b', 'recy4eIeUNC7rqI0x', 'recEN7WTxYeQ5Q1zb', 'rec63Mru1fEyjsR88', 'recEIzk19IR00EYAO']",['ถังขยะ'],"['นำขยะออกตามกำหนด', 'ล้างถังขยะเป็นประจำ']",['ปิดฝาถังขยะให้มิดชิด'],"['บริการพ่นควันฆ่าเชื้อโรค ด้วยระบบ fogging', 'ติดตั้งระบบเครื่องเติมอากาศ แรงดันบวก พร้อมกำจัดกลิ่น AIRWAVE+', 'ติดตั้งระบบเติมอากาศให้บ้าน เครื่องเติมอากาศ FRESHNERGY', 'เครื่องเติมอากาศดี SCG Active AIR Quality', 'ระบบไอออนกำจัดเชื้อโรคในอากาศ และดักจับฝุ่น PM2.5 SCG Bi-ion']"
rec0gtW3b1LnPkA6n,2025-06-12T02:36:50.000Z,ของรกไม่เป็นระเบียบ,Clutter/Untidiness,สิ่งของวางกองระเกะระกะ บ้านดูรกรุงรังไม่เรียบร้อย,"Items are piled up or scattered messily, making the house look cluttered and untidy",['recTJwmPyawzQu2WQ'],,['recuz1zjrvg0hgMuS'],"['recvifp51AJLvrbEh', 'recaV8svBvuvG2Y3k']",['ถังขยะ'],,['รวบของให้เป็นระเบียบ'],"['บริการทำความสะอาดคอนโด (General Cleaning)', 'บริการทำความสะอาดบ้านและคอนโด (Deep Cleaning)']"
rec0jqy6maUwn4p6I,2025-06-12T02:36:50.000Z,แมลงและหนูบริเวณถังขยะ,Pests (Insects/Rodents) around Trash,มีแมลงวัน แมลงสาบ หรือหนูชุกชุมบริเวณจุดทิ้งขยะของบ้าน,"Flies, cockroaches, or rodents are attracted to and infesting the home's garbage area",['recTJwmPyawzQu2WQ'],['recB3GmEbddMNG3Nu'],,"['recfHV2E1qfkkQ6aM', 'recB27Jid4BnaxXtE', 'recsX9eXEUe2Gkl9b']",['ถังขยะ'],['นำขยะออกตามกำหนด'],,"['กำจัดและป้องกันหนู', 'กำจัดและป้องกันแมลงสาบสายพันธุ์เยอรมัน', 'บริการพ่นควันฆ่าเชื้อโรค ด้วยระบบ fogging']"
rec15o7HoTQ3PL5s7,2025-06-12T02:36:50.000Z,งบบานปลายตอนรีโนเวท,Renovation Cost Overruns,เมื่อปรับปรุงบ้าน ค่าใช้จ่ายจริงสูงกว่าที่ตั้งงบไว้มาก (งบบานปลาย),"During renovations, the actual expenses turned out much higher than the budget (cost overrun)",['reck5L4oCIRPzI5F6'],['recDBx6O0wFM52njH'],['recibOx8uwVo3Xp8H'],"['recF3XcfsCAVikfLq', 'recNwyVORY86PatO0', 'recimJUOu3hksxL6l']",['แผนงบประมาณดูแลบ้าน'],['ทบทวนงบประมาณรายไตรมาส'],['ทำเองบางงานแทนจ้าง'],"['บริการสถาปนิก และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน', 'บริการออกแบบบ้าน', 'ออกแบบตกแต่งภายใน บิ้วอิน พร้อมติดตั้ง ครบวงจร']"
rec281us7oEtid4a0,2025-06-12T02:36:50.000Z,สไตล์การตกแต่งล้าสมัย,Outdated Decor Style,รูปแบบหรือธีมการตกแต่งภายในบ้านดูเก่าและไม่ทันสมัย,The interior décor style or theme looks old-fashioned and not up-to-date,"['rec38JzAPe4YMnsVz', 'recauiNeP38WC8PNt', 'recgTtcJIa3YX7rrY', 'recpJIjux6FDGwzes', 'recuur7UySFWIhQFU', 'recCzPrblUUtgYDgV']","['recszba8iVSG7utgQ', 'rec8Kl8oAVv8ViYPB']","['rec2mG9JLNc4gsprf', 'rec2kgZXBOJ2Y1Ngx', 'recR2DmmtRVYu2VKD', 'recnjiG4No24tI3Sw', 'rec90zq10FTat1Csg']","['recX6YaGAlnCd3TC0', 'recimJUOu3hksxL6l', 'recNwyVORY86PatO0', 'recF3XcfsCAVikfLq']","['เฟอร์นิเจอร์ตกแต่ง', 'ผ้าม่าน/มู่ลี่', 'วอลเปเปอร์', 'โคมไฟตกแต่ง', 'พรมและผ้าตกแต่ง', 'ภาพและงานศิลป์']","['ประเมินธีมห้องปัจจุบัน', 'หาโอกาสตกแต่งเพิ่มเติม']","['จัดเฟอร์นิเจอร์ใหม่', 'ตกแต่งด้วยของที่มีอยู่', 'เปลี่ยนผ้าม่าน/ปลอกหมอน', 'ใช้โคมไฟเสริมบรรยากาศ', 'ทำความสะอาดของตกแต่ง']","['EZYBUILT บริการออกแบบและติดตั้ง Furniture Fit-in', 'ออกแบบตกแต่งภายใน บิ้วอิน พร้อมติดตั้ง ครบวงจร', 'บริการออกแบบบ้าน', 'บริการสถาปนิก และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน']"
rec41KAyDUAF6qEa9,2025-06-12T02:36:50.000Z,ผนังมีรอยแตกลายงา,Hairline Wall Cracks,มีรอยแตกร้าวเล็กบางๆ บนผนังปูน คล้ายลายงา,There are fine hairline cracks on the plaster wall surface,"['recLkEqyNFkzqA8GR', 'reciPjowP662LnLuB', 'recDvAJ5InYqjXVOg']",['reci5Kfgf8wswfJ1g'],"['rec6URzdMWheGKvyP', 'recYglfHy7yQ10cbi']","['recEGpmFGDKENZ4aq', 'rec8ZJFwQcxBa5Zm2', 'recbq5zZb0zsdB2V1', 'rec5YeiVEJdXdsbJU', 'recFQY7h9cqFcRZDU', 'recuc97T9jbgkwulU']","['สีน้ำ/สีน้ำมัน', 'สีรองพื้น', 'วัสดุอุดโป๊ว']",['มองหารอยด่างบนผนัง'],"['อุดโป๊วรอยแตกเล็ก', 'ขูดและทาสีเฉพาะจุด']","['บริการทาสีผนังภายใน-ภายนอกด้วยสี Beger', 'บริการทาสี Beger', 'บริการติดตั้งชุดตกแต่งผนัง (The wall) สำหรับภายใน', 'บริการติดตั้งผนังตกแต่ง ไฟเบอร์ซิเมนต์ SCG รุ่น โมดิน่า Wall décor', 'บริการติดตั้งผนังตกแต่ง KMEW รุ่น EXCELLAGE สำหรับภายนอก', 'บริการติดตั้งวอลเปเปอร์ และ Interior Film MeClass']"
rec4zYgI9ZFvB3XiM,2025-06-12T02:36:50.000Z,ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,Mold/Algae Stains on Wall,มีคราบดำของเชื้อราหรือคราบเขียวของตะไคร่ขึ้นตามผนัง,Dark mold or green algae stains are present on wall surfaces,['recwI9sZGmczK1RVM'],['recNERmJQ1PAX4gdR'],['rec9L76QNvp0JNK63'],"['recEGpmFGDKENZ4aq', 'rec8ZJFwQcxBa5Zm2', 'recsX9eXEUe2Gkl9b', 'recDQ0hwu2uytZDop', 'reciLImZDzkW3WEhh']",['น้ำยากันเชื้อรา'],['ตรวจเชื้อราในห้องชื้น'],['ทำความสะอาดคราบเชื้อรา'],"['บริการทาสีผนังภายใน-ภายนอกด้วยสี Beger', 'บริการทาสี Beger', 'บริการพ่นควันฆ่าเชื้อโรค ด้วยระบบ fogging', 'บริการติดตั้งระบบกันน้ำรั่วซึมสำหรับดาดฟ้า โดย MagiX', 'บริการทาสีดาดฟ้ากันซึม']"
rec5cItMuQaEmoEIa,2025-06-12T02:36:50.000Z,ประตูหน้าต่างติดขัด (โครงสร้างยุบ),Sticking Doors/Windows (Structure Shift),ประตูหรือหน้าต่างปิดไม่สนิทหรือติด เพราะโครงสร้างบ้านเปลี่ยน,Doors or windows are difficult to close or misaligned due to structural shifts in the house,"['recg6IRFv35K2qXUf', 'recHfN5rd01bkfPbW', 'reccPMS6d6Vd9RFxm', 'reckhl3fbypXCnJS1', 'recNvxAb4HUjQa9AA', 'recUq5hBrJKDYd2jP', 'rec2DIyEzwIJ4VgYO', 'recYeFOpmOTjBFmyW', 'rec3zBC5seiqkz4G7']","['recVdWfcJQK8U55yD', 'recK0lx8XilIFugIP', 'rectFQ6qmHAO1yEUk']",['rect0LPP5P1OAbAuQ'],"['recaHCfzq91nWMfty', 'recIcVfLAJfMDeAV8', 'recHNeWemPj5V41M5', 'recG7K3b0S666HWbr']","['ฐานราก', 'เสาโครงสร้าง', 'คานโครงสร้าง', 'พื้นคอนกรีต', 'ผนังรับน้ำหนัก', 'เหล็กเสริมโครงสร้าง', 'ประตูไม้', 'หน้าต่าง', 'วงกบประตู/หน้าต่าง']","['สำรวจรอยร้าวเป็นระยะ', 'เช็กการปิดของประตูหน้าต่าง', 'ตรวจเสา-คานที่มองเห็นได้']",['ค้ำยันชั่วคราวจุดแตกร้าวหนัก'],"['บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย CVT', 'บริการติดตั้งประตูหน้าต่างอลูมิเนียม', 'ประตู หน้าต่าง วินด์เซอร์ สั่งตัดพิเศษ', 'แพ็คเกจบริการรวมสำรวจ ปรับปรุง ต่อเติม พื้นที่รอบบ้านครบวงจร HomeSmile']"
rec6ZZ2BixIR9hyPz,2025-06-12T02:36:50.000Z,ท่อน้ำรั่ว/แตก,Leaking/Burst Pipe,ท่อประปามีน้ำซึมหรือแตกรั่ว ทำให้น้ำไหลออกมา,"Water supply pipe is leaking or has burst, causing water leakage","['rec2Nq5k9ZmePGOvi', 'recvRNJAc2jaSgSoJ']","['rec40cNK0jOwtEhFn', 'reckzQnu4hPUkixeP']","['rec1wcYr89xjXHpAp', 'recKhqq0PfwSkRbYg']","['recRymcaUzpQjn8gC', 'recuhYXVxP4v5No7j']","['ท่อประปา', 'ข้อต่อท่อประปา']","['เช็กมิเตอร์น้ำหาการรั่ว', 'ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด']","['พันเทปประปาที่ข้อต่อรั่ว', 'ปิดวาล์วน้ำเมื่อท่อแตก']","['แก้ไขท่อน้ำอุดตัน', 'บริการติดตั้งปรับปรุงห้องน้ำ']"
