id_problem,id_check
ก๊อกน้ำรั่ว,ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด
กลิ่นเหม็นจากขยะ,นำขยะออกตามกำหนด
กลิ่นเหม็นจากขยะ,ล้างถังขยะเป็นประจำ
แมลงและหนูบริเวณถังขยะ,นำขยะออกตามกำหนด
งบบานปลายตอนรีโนเวท,ทบทวนงบประมาณรายไตรมาส
สไตล์การตกแต่งล้าสมัย,ประเมินธีมห้องปัจจุบัน
สไตล์การตกแต่งล้าสมัย,หาโอกาสตกแต่งเพิ่มเติม
ผนังมีรอยแตกลายงา,มองหารอยด่างบนผนัง
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,ตรวจเชื้อราในห้องชื้น
ประตูหน้าต่างติดขัด (โครงสร้างยุบ),สำรวจรอยร้าวเป็นระยะ
ประตูหน้าต่างติดขัด (โครงสร้างยุบ),เช็กการปิดของประตูหน้าต่าง
ประตูหน้าต่างติดขัด (โครงสร้างยุบ),ตรวจเสา-คานที่มองเห็นได้
ท่อน้ำรั่ว/แตก,เช็กมิเตอร์น้ำหาการรั่ว
ท่อน้ำรั่ว/แตก,ตรวจใต้ซิงค์และท่อว่ามีน้ำหยด
แมลงสาบในครัว,วางกับดัก/สังเกตแมลงสาบ
ผ้าม่านหมอง/มีคราบ,ตรวจความสะอาดของผ้าม่าน/พรม
ใช้งบซ่อมบ้านเกินกำหนด,ทบทวนงบประมาณรายไตรมาส
กลอนหรือลูกบิดเสีย,เช็กการปิดของประตูหน้าต่าง
ศัตรูพืชทำลายสวน,ตรวจสุขภาพต้นไม้ใบไม้
ฝุ่นสะสมในบ้าน,ปัดฝุ่นบนเฟอร์นิเจอร์
กลิ่นไม่พึงประสงค์,ทำความสะอาดพื้นทุกสัปดาห์
กลิ่นไม่พึงประสงค์,จัดการขยะทุกวัน
กลิ่นไม่พึงประสงค์,ตรวจมุมอับซ่อนสิ่งสกปรก
เสียงดังผิดปกติจากระบบ,เช็กการทำงานพัดลม/มอเตอร์
สัตว์เลี้ยงกัดแทะสิ่งของ,ตรวจรั้ว/กรงสัตว์เลี้ยง
สัตว์เลี้ยงกัดแทะสิ่งของ,ดูสายไฟและของใช้ถูกแทะ
ผนังหรือพื้นแตกร้าว,สำรวจรอยร้าวเป็นระยะ
