id_problem,id_fix
rec0MtyTgmKTfzd3B,recKKAnoSLgGPKmdy
rec0Rp87rtsWA9AZf,recbs4ibEBzfcbIU6
rec0gtW3b1LnPkA6n,recuz1zjrvg0hgMuS
rec15o7HoTQ3PL5s7,recibOx8uwVo3Xp8H
rec281us7oEtid4a0,rec2mG9JLNc4gsprf
rec281us7oEtid4a0,rec2kgZXBOJ2Y1Ngx
rec281us7oEtid4a0,recR2DmmtRVYu2VKD
rec281us7oEtid4a0,recnjiG4No24tI3Sw
rec281us7oEtid4a0,rec90zq10FTat1Csg
rec41KAyDUAF6qEa9,rec6URzdMWheGKvyP
rec41KAyDUAF6qEa9,recYglfHy7yQ10cbi
rec4zYgI9ZFvB3XiM,rec9L76QNvp0JNK63
rec5cItMuQaEmoEIa,rect0LPP5P1OAbAuQ
rec6ZZ2BixIR9hyPz,rec1wcYr89xjXHpAp
rec6ZZ2BixIR9hyPz,recKhqq0PfwSkRbYg
rec6xAp5iLGJdsEgu,recVZCekylDdlHivk
rec9QehHoASk3FH7M,recG19cwBYishDoeg
recAZyJBkIljH3C4E,rechQNohHsaBnsW7r
recBZMyWx5SNYNR43,recj3mUHJSVfpmkTH
recBZMyWx5SNYNR43,recaOGNndeZOSF7tN
recBZMyWx5SNYNR43,recbXqF5GLotk9Xmy
recCcAEKfOSRbfB8g,recVfZW8jLi9V2l2T
recCw5FrTwc4SUu1L,recNhzQx1GK0v8rpb
recFXHzQglXNIwyQ7,rec1dFLDFJM9sxxtF
recH02h0y1IQhBnYl,recymWCwwyE1ycAfh
recH02h0y1IQhBnYl,rect0LPP5P1OAbAuQ
recI5OmeM7Heiuziu,rec9kPJwl9tPGWfnU
recIa4qwwETdrEQ0S,recibOx8uwVo3Xp8H
recIa4qwwETdrEQ0S,recnXVgJcWZvvIhTx
recJTwFpsDoC5GWhn,reclfyVqnq4CMU1eQ
recJWRDdJTxjB4gAQ,recZhErluzYLmzVhp
recJXD3NfRNPjwQhr,recguu4LMvI4kLiJb
recKnKDWPpAxDpYke,reci2A92jnUkOZ9PI
recKnKDWPpAxDpYke,recJhf4ZcNZO6bwMH
recLsg9g6Z5IbfuME,recMmfUSg2Zmcb9nR
recNwCG7roHmoR3vE,rec8CMbJq4wM0kh8h
recPO2Z3SzOINNRGO,recc2G642zybdk4En
recQsQqNwmLxPYfAr,recXsOIBM4MbM6Coa
