id_problem,id_service
ก๊อกน้ำรั่ว,แก้ไขท่อน้ำอุดตัน
ก๊อกน้ำรั่ว,บริการติดตั้งปรับปรุงห้องน้ำ
กลิ่นเหม็นจากขยะ,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
กลิ่นเหม็นจากขยะ,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
กลิ่นเหม็นจากขยะ,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
กลิ่นเหม็นจากขยะ,เครื่องเติมอากาศดี_scg_active_air_quality
กลิ่นเหม็นจากขยะ,ระบบไอออนกำจัดเชื้อโรคในอากาศ_และดักจับฝุ่น_pm2.5_scg_bi-ion
ของรกไม่เป็นระเบียบ,บริการทำความสะอาดคอนโด_(general_cleaning)
ของรกไม่เป็นระเบียบ,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
แมลงและหนูบริเวณถังขยะ,กำจัดและป้องกันหนู
แมลงและหนูบริเวณถังขยะ,กำจัดและป้องกันแมลงสาบสายพันธุ์เยอรมัน
แมลงและหนูบริเวณถังขยะ,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
งบบานปลายตอนรีโนเวท,บริการสถาปนิก_และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน
งบบานปลายตอนรีโนเวท,บริการออกแบบบ้าน
งบบานปลายตอนรีโนเวท,ออกแบบตกแต่งภายใน_บิ้วอิน_พร้อมติดตั้ง_ครบวงจร
สไตล์การตกแต่งล้าสมัย,ezybuilt_บริการออกแบบและติดตั้ง_furniture_fit-in
สไตล์การตกแต่งล้าสมัย,ออกแบบตกแต่งภายใน_บิ้วอิน_พร้อมติดตั้ง_ครบวงจร
สไตล์การตกแต่งล้าสมัย,บริการออกแบบบ้าน
สไตล์การตกแต่งล้าสมัย,บริการสถาปนิก_และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน
ผนังมีรอยแตกลายงา,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
ผนังมีรอยแตกลายงา,บริการทาสี_beger
ผนังมีรอยแตกลายงา,บริการติดตั้งชุดตกแต่งผนัง_(the_wall)_สำหรับภายใน
ผนังมีรอยแตกลายงา,บริการติดตั้งผนังตกแต่ง_ไฟเบอร์ซิเมนต์_scg_รุ่น_โมดิน่า_wall_décor
