id_bu,id_provider
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,2
reccNudjo8Tx9ns83,3
reccNudjo8Tx9ns83,4
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,5
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,7
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,8
reccNudjo8Tx9ns83,9
reccNudjo8Tx9ns83,9
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,10
reccNudjo8Tx9ns83,3
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,11
reccNudjo8Tx9ns83,12
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,13
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,9
reccNudjo8Tx9ns83,14
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,15
reccNudjo8Tx9ns83,15
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,9
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,15
reccNudjo8Tx9ns83,17
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,18
reccNudjo8Tx9ns83,15
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,19
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,9
reccNudjo8Tx9ns83,11
reccNudjo8Tx9ns83,20
reccNudjo8Tx9ns83,13
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,17
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,21
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,19
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,7
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,9
reccNudjo8Tx9ns83,22
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,23
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,24
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,9
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,13
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,25
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,3
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,16
reccNudjo8Tx9ns83,9
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,16
recwvh3DUOaN05UXn,1
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,26
reccNudjo8Tx9ns83,6
reccNudjo8Tx9ns83,6
recwvh3DUOaN05UXn,1
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,12
reccNudjo8Tx9ns83,27
reccNudjo8Tx9ns83,1
reccNudjo8Tx9ns83,17
reccNudjo8Tx9ns83,19
