id,createdTime,bu,name_th,description_th,provider,url,tag,name_th (from bu),problem
rec049gLJLjMMv4ey,2025-06-25T05:31:09.000Z,['recwvh3DUOaN05UXn'],โครงหลังคาสำเร็จรูป Rhino Truss พร้อมติดตั้ง,"ประมาณราคาจากแบบแปลน ลูกค้าเตรียมแบบที่สมบูรณ์ แบบแปลนหลังคา แบบแปลนโครงสร้างหลังคา รูปด้าน รูปตัด
พื้นที่ขั้นต่ำ 100 ตารางเมตร
ติดตั้งรวดเร็ว ได้มาตรฐาน เวลาในการให้บริการ: ติดตั้ง 2-3 วัน (ขึ้นอยู่กับพื้นที่หน้างาน)
พื้นที่ให้บริการ: ทั่วประเทศ
รับประกันสินค้า 20 ปี และรับประกันการติดตั้ง 5 ปี",ช่างจากแพลตฟอร์มคิวช่าง,https://www.q-chang.com/p/roof-truss-rhino?sku=b92c4bd6-12d1-3c73-9d55-359eab4a9a53,ต่อเติม ปรับปรุง,['Q‑CHANG'],
rec0VJdV16P2sEIhd,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],เครื่องชาร์จรถยนต์ไฟฟ้า SIEMENS - EV Charger,"เครื่องชาร์จรถยนต์ไฟฟ้า SIEMENS – EV charger แบรนด์ชั้นนำของเยอรมันนี ยอดขายอันดับหนึ่งในประเทศไทย รับประกันตัวสินค้า 2 ปี และมีประกันภัย 1 ปี วงเงิน 20 ล้านบาท ดีไซน์เครื่องเรียบหรู ทันสมัย ที่มาพร้อมความปลอดภัย แถมใช้งานง่าย และติดตั้งด้วยทีมผู้เชี่ยวชาญ
เครื่อง EV Charger แบรนด์ Siemens รุ่น Versicharge Gen 3 เป็นรุ่นที่ขายดี มี 2 ขนาด คือ ขนาด 7.4 kW และ ขนาด 22 kW เหมาะสำหรับใช้งานในบ้าน

ชาร์จได้เร็วกว่าอุปกรณ์ชาร์จที่แถมมากับรถยนต์ถึง 3 เท่า
ใช้งานผ่านระบบบัตร RFID
มีให้เลือกทั้ง 2 รุ่น รองรับกระแสไฟฟ้า 1 เฟส และ 3 เฟส
รองรับหัวชาร์จมาตรฐาน Type 2
สั่งชาร์จ / หยุด และเช็คสถานะผ่าน Cloud
มีระบบป้องกันไฟรั่ว RCD
ตัวเครื่องกันน้ำ ระดับมาตรฐาน IP56 และกันฝุ่นได้
สามารถใช้งานผ่าน App Sifinity Go ได้
สามารถใช้กับรถยนต์ไฟฟ้าและปลั๊กอินไฮบริดได้ทุกรุ่น",Future charge,https://www.scghome.com/homesolution/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B7%E0%B9%88%E0%B8%99%E0%B9%86/%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%88%E0%B8%A3%E0%B8%96%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2-EV-Charger/%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%88%E0%B8%A3%E0%B8%96%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2-SIEMENS,อื่นๆ,['SCG Home'],
rec0hUnMvwelcE7Qj,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],บริการติดตั้งไม้พื้น Ecoqueen Floor ญี่ปุ่น สำหรับภายใน,"พื้นภายในลายไม้วัสดุทำจาก PP (Polypropylene) วัสดุที่ใช้ในวงการแพทย์ และอุตสาหกรรมยานยนต์ เทคโนโลยีหนึ่งเดียวจากญี่ปุ่น มีให้เลือกใช้งาน 2 รุ่น คือ Ecoqueen Floor และ Ecoqueen Floor Gen II

ดีไซน์อบอุ่นสไตล์มินิมอล มูจิ
พื้นสามารถกันน้ำ กันปลวก ใช้ในห้องน้ำได้
สีทนทานไม่ซีดจาง ไร้กลิ่นอับชื้น และเชื้อรา
ทำความสะอาดดูแลรักษาง่าย
ผลิตและนำเข้าจากประเทศญี่ปุ่น มารตฐานการผลิตคุณภาพสูง",Minima House,https://www.scghome.com/homesolution/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%A0%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%99/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%A1-Ecoqueen-Floor,ติดตั้งต่อเติม,['SCG Home'],
rec1KItbnMhxfztK9,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],บริการติดตั้งชุดโครงเหล็กค้ำยันต้นไม้พร้อมเสาเข็มเหล็ก,ให้บริการด้านการออกแบบ ผลิต และจัดจำหน่าย ชุดโครงเหล็กค้ำยันต้นไม้พร้อมเสาเข็มเหล็ก ที่จะช่วยปกป้องดูแลต้นไม้ให้เติบโตได้อย่างมีประสิทธิภาพ แข็งแรงตั้งแต่ฐานรากด้วย FlexiRoot โดยใช้เสาเข็มเหล็กหยั่งลึกลงไปใต้ดินเปรียบเสมือนรากแก้วเทียมให้กับต้นไม้ ยึดโยงลำต้นไม่ให้โอนเอนจากลมแรง พายุฝน ด้วยโครง FlexiAdaptor โครงสร้างเหล็กที่ไม่เพียงแข็งแรงด้วยวัสดุ แต่ยังสามารถปรับลดและขยายขนาดได้ตามการเติบโตของต้นไม้ ไม่บีบรัดจนกินเนื้อไม้ โดยมีอายุการใช้งานมากกว่า 5 ปี และติดตั้งโดยไม่ใช้การเชื่อม จึงไม่เป็นอันตรายต่อต้นไม้ แถมยังสามารถเลือกเพิ่มฟังก์ชั่นต่างๆได้ตามชอบ โดยมีทั้ง ที่นั่ง ชิงช้า และ Chill Bed ให้ค้ำยันต้นไม้เป็นได้มากกว่าการปกป้องดูแลต้นไม้ที่คุณรัก,KEMREX,https://www.scghome.com/homesolution/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1/%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%8C-%E0%B8%AA%E0%B8%A7%E0%B8%99/%E0%B8%84%E0%B9%89%E0%B8%B3%E0%B8%A2%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81,ติดตั้งต่อเติม,['SCG Home'],['recTTfw8kqdOIYWSL']
rec2ZBk3jKJoBUimB,2025-06-25T05:31:09.000Z,['recwvh3DUOaN05UXn'],ติดตั้งแอร์แขวนหรือตั้งพื้น (เฉพาะค่าแรง),"ติดตั้งโดยช่างที่ชำนาญการ
ช่างผ่านการรับรองความรู้ความสามารถช่างไฟฟ้าภายในอาคาร
รับประกันงานติดตั้ง 180 วัน
บริการติดตั้งเฉพาะในเขต กทม.ปริมณฑล
ขอสงวนสิิทธิ์รับติดตั้งเฉพาะเครื่องปรับอากาศใหม่เท่านั้น **",ช่างจากแพลตฟอร์มคิวช่าง,https://www.q-chang.com/p/ac-installation-ceiling-type?sku=191bae4f-a51a-39f1-bdda-1d71e1e79663,ติดตั้ง,['Q‑CHANG'],
rec2bQE7wK9HRzIx7,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],บริการติดตั้งม่านม้วนและมู่ลี่ BIW,ติดตั้งม่านม้วน มู่ลี่ไม้นวัตกรรมจากยุโรป ที่จะช่วยยกระดับคุณภาพการอยู่อาศัย ด้วยดีไซน์ที่สวยงาม ทันสมัยและใส่ใจต่อสิ่งแวดล้อม ม่านรักษ์โลกที่ผลิตจากพลาสติกรีไซเคิล PET ลดการใช้พลังงาน ลดการใช้น้ำและลดคาร์บอน ความสวยงามที่เป็นมิตรกับสิ่งแวดล้อมและผู้อยู่อาศัย ผลิตภัณฑ์คุณภาพสูงมาตรฐานที่มี certificated Greenguard Gold รองรับเรื่องความปลอดภัยเป็นมิตรกับผู้อยู่อาศัย รับประกันผ้าและอุปกรณ์ม่านม้วน 1 ปี // รับประกันมอเตอร์ 5 ปี,BIW,https://www.scghome.com/homesolution/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1/%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B9%88%E0%B8%B2%E0%B8%99-wallpaper/biw-products,ติดตั้งต่อเติม,['SCG Home'],
rec2lTQLOzKuroN2z,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],บริการติดตั้งต่อเติมโรงรถ-กันสาด by Q-Chang,หลังคา โรงรถ-กันสาด พร้อมบริการติดตั้งโดย Q-CHANG ซึ่งให้บริการด้วยช่างมากประสบการณ์ มีมาตรฐาน ราคาสมเหตุสมผล และการันตรีคุณภาพของผลงาน และรับประกันการติดตั้ง 365 วัน (ติดตั้งและรับประกันโดยทีมช่างมืออาชีพ จากแพลตฟอร์มคิวช่าง ซึ่งเป็นแพลตฟอร์มรวบรวมช่างคุณภาพและบริการดูแลบ้านครบวงจร,ช่างจากแพลตฟอร์มคิวช่าง,https://www.scghome.com/homesolution/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%A3%E0%B8%96%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B2%E0%B8%94%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%A1%E0%B8%B2%E0%B8%95%E0%B8%A3%E0%B8%90%E0%B8%B2%E0%B8%99-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%A3%E0%B8%96%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B2%E0%B8%94Q-CHANG-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87,ติดตั้งต่อเติม,['SCG Home'],
rec2pCBreYXQzFYQj,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],บริการติดตั้งรั้ว ระแนงบังตาไวนิล รุ่น Value Set และ Box Set,เปลี่ยนบ้านธรรมดาให้เป็นบ้านที่อยู่แล้วสบายด้วยไม้ระแนง SCG ระแนงบังตาไวนิล รุ่น Value Set และ Box set พร้อมบริการติดตั้งจากทีมช่างมากประสบการณ์ รองรับทุกการออกแบบ ไม่ว่าจะเป็นสไตล์ทันสมัยแบบ Modern สไตล์สวยงามร่วมสมัยแบบ Contemporary หรือใกล้ชิดธรรมชาติสไตล์ Natural เหมาะสำหรับบ้านพักอาศัย ที่ต้องการลดความร้อนจากแสงแดดที่ส่องเข้ามาภายในบ้าน อยากเพิ่มความเป็นส่วนตัว หรือปกปิดภูมิทัศน์ที่ไม่สวยงาม จากสายตาคนนอก แต่ยังต้องการความรู้สึกโปร่งสบาย อีกทั้งยังสามารถใช้เพื่อการตกแต่งส่วนต่างๆ ทั้งภายในและภายนอกบ้านได้ด้วย ไม่ว่าจะเป็นสวนแนวตั้งไม้ระแนง รั้วบ้าน หลังคา ทางเดินรอบตัวบ้าน ซุ้มนั่งเล่น และเฟอร์นิเจอร์แต่งบ้าน ที่ช่วยแบ่งพื้นที่ใช้สอยได้ชัดเจนพร้อมเพิ่มความโดดเด่นให้บ้านสวยในแบบที่ไม่ซ้ำใคร,SCG Home Experience Vendor,https://www.scghome.com/homesolution/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1/%E0%B8%A3%E0%B8%B1%E0%B9%89%E0%B8%A7%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%99%E0%B8%87%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%9F%E0%B8%B2%E0%B8%8B%E0%B8%B2%E0%B8%94/%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%99%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B8%B4%E0%B8%A5-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87,ติดตั้งต่อเติม,['SCG Home'],['recyxgDCn49tohiLS']
rec3KNE24Op9fW1VI,2025-06-25T05:31:09.000Z,['reccNudjo8Tx9ns83'],บริการติดตั้งมุ้งลวดนิรภัยสแตนเลส CVT,"ประตู-หน้าต่างมุ้งลวดนิรภัย เริ่มต้นที่ 7,900 บาท/ตร.ม. โดยจะเป็นในรูปแบบของบานตาย ไม่สามารถเปิดได้ และเป็นรุ่นที่เส้นลวดเล็กที่สุดคือ รุ่น Economy แนะนำให้ใช้สำหรับป้องกันสัตว์เลี้ยง หรือพื้นที่ที่มีการป้องกันอย่างอื่นร่วมด้วย เช่นเหล็กดัด หรือ กล้องวงจรปิดตรวจจับความเคลื่อนไหว สามารถติดตั้งได้ทั้งด้านในและด้านนอกบ้าน

จุดเด่นงานมุ้งลวดนิรภัย

มุ้งลวดนิรภัยเป็นเส้นลวดสแตนเลส 304 ,316 แท้ มีการตรวจสอบคุณภาพ ขนาดเส้นลวด และส่วนประกอบทางเคมีทุกล็อต จึงมีการเคลือบผิวที่สวยงาม เส้นลวดแข็งแรงต้านทานการโจรกรรมได้สูงสุด โครงสร้างกรอบบาน กรอบเฟรม ผลิตจากอลูมิเนียมอัลลอยด์เกรดแข็งแรงที่สุด 6063T5 ระบบล็อคบอดี้ผลิตจาก Zinc Alloy และหมุดล็อคผลิตจาก SUS304
ช่องเปิดมุ้งลวด มีขนาดเล็กกว่าคู่แข่ง ด้วยขนาดเส้นลวดเท่ากัน ทำให้มีความแข็งแรงของโครงตาข่ายที่มากกว่า และป้องกันแมลงสัตว์ร้ายต่างๆได้ในสัดส่วนที่มากกว่า
กรอบเฟรมมุ้งลวดนิรภัยได้รับการดีไซน์โดยสถาปนิกหลายท่านที่ช่วยกันลงไอเดีย ทำให้เกิดดีไซน์ที่สวยที่สุดที่สามารถเข้ากับบ้านได้ทุกสไตล์ทั้งโมเดิร์น หรือลักชัวรี่ อีกทั้งยังเป็นแบรนด์เดียวที่ใช้สีกรอบแบบไฮบริดคัลเลอร์คือมี 2 สีในเฟรมเดียวกัน
ความแข็งแรงของกรอบเฟรมมากกว่าบริษัทอื่น สามารถขึงมุ้งให้ตึงได้แม้บานจะสูงถึง 4.5 เมตร และความกว้างสูงสุดที่ทำได้คือ 1.6 เมตร
กรอบเฟรมมุ้งลวดนิรภัยของมีความบางเพียง 4-6 cm. สามารถทารางเตี้ย 9 mm. ได้สาหรับลูกค้าที่ต้องใช้วีลแชร์ หรือผู้สูงอายุที่ไม่ต้องการเดินสะดุดราง ไม่ต้องฝังรางลงพื้น
จำนวนระบบล็อคมีจานวนอย่างน้อย 4 จุด (ถ้าไม่ถูกจำกัดด้วยขนาดบาน) และสูงสุดถึง 6 จุด พร้อมทั้งระบบป้องกันการดันกลับจากภายนอก และระบบป้องกันการล็อคตัวเองกรณีลืมกุญแจ",CVT,https://www.scghome.com/homesolution/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B8%A1/MosquitoWireScreen/Wire-security,ติดตั้งต่อเติม,['SCG Home'],['reciWWw0tzZtN3S3I']
rec5Q2wXM8hBejOSF,2025-06-25T05:31:09.000Z,['recwvh3DUOaN05UXn'],บริการล้างเครื่องซักผ้าฝาบน,"บริการล้างโดยทีมงานมืออาชีพ ที่มีความรู้ ความชำนาญ ใช้เวลาในการให้บริการ 3 ชั่วโมงต่อเครื่อง
แก้ปัญหาผ้าเหม็นอับ เครื่องทิ้งน้ำไม่หมด ปั่นไม่แห้ง
รับประกันการล้าง 30 วัน
**รบกวนส่งรูปเครื่องซักผ้าให้เจ้าหน้าที่ประเมินงานก่อนทาง Line @q-chang
ขอสงวนสิทธิ์ในการให้บริการเครื่องซักผ้าที่มีอายุการใช้งานเกิน 8 ปี
ขอสงวนสิทธิ์ในการให้บริการ เครื่องซักผ้าแบรนด์ BEKO, BOSCH, SIEMENS, INDESIT, WHIRLPOOL
แบรนด์ ELECTROLUX, PANASONIC, HITHACHI ,SHARP กรุณาแจ้งรายละเอียดรุ่น อายุการใช้งาน และส่งรูปภาพให้เจ้าหน้าที่ช่วยประเมินก่อนว่ารับงานได้หรือไม่
กรณีพื้นที่หน้างานไม่สะดวกต่อการล้าง จำเป็นต้องยกเครื่องไปล้างนอกสถานที่ จะมีค่าบริการเพิ่มเติม 500 บาท
",ช่างจากแพลตฟอร์มคิวช่าง,https://www.q-chang.com/p/washer-cleaning-toploader?sku=2d5598ab-4742-351c-be48-dc09becd6a2e,ล้าง,['Q‑CHANG'],
